metric,mean,min,max,valid_samples
left_hip_angle_deg,107.488,49.9,178.91,137
right_hip_angle_deg,114.405,64.1,177.63,137
left_knee_angle_deg,132.519,10.01,179.73,137
right_knee_angle_deg,124.809,12.53,178.18,137
left_ankle_angle_deg,141.214,14.35,179.79,137
right_ankle_angle_deg,146.372,10.44,179.81,137
left_shoulder_angle_deg,60.98,34.7,86.79,23
right_shoulder_angle_deg,59.91,2.17,114.1,137
left_elbow_angle_deg,152.176,129.13,179.1,14
right_elbow_angle_deg,153.842,17.46,179.82,134
trunk_lean_angle_deg,22.954,1.93,40.77,137
